"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","transfer","fee","transfer","transfer","one"
"2","madrid","league","fee","fee","fee"
"3","midfielder","transfer","league","unite","goal"
"4","play","chelsea","one","approx","transfer"
"5","player","approx","approx","leave","season"
"6","approx","pay","good","bad","approx"
"7","fee","loan","million","manchester","league"
"8","team","just","make","sign","score"
"9","good","inter","premier","big","sign"
"10","year","goal","barcelona","just","premier"
