"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","barcelona","atletico","chelsea","manchester","madrid","million"
"2","euro","antoine","andriy","unite","real","juventus"
"3","million","griezmann","shevchenko","eintracht","arsenal","inter"
"4","coutinho","madrid","danny","frankfurt","eden","ibrahimovic"
"5","philippe","liverpool","drinkwater","city","hazard","zlatan"
"6","liverpool","shanghai","liverpool","alexis","nicolas","paul"
"7","dembele","balotelli","milan","sanchez","pepe","pogba"
"8","ousmane","mario","valencia","newcastle","alvaro","milan"
"9","chygrynskiy","costa","leicester","haller","morata","tottenham"
"10","dmytro","diego","lazio","ham","arthur","betis"
