"Names","Description","Cleaned_Description","Cleaned_Name"
"40. Alvaro Morata (Real Madrid to Chelsea, 2017)","Approx transfer fee: £60mWhen you're judging centre-forwards, there aren't too many similarities between Diego Costa and Alvaro Morata.So why Chelsea decided to replace the former with the latter is beyond us. Where Costa was fearless, Morata was toothless. Where Costa was a menace to the opposition, Morata was a menace to his own team. Where Costa has highlight reel moments, Morata had gag reel moments.With just 24 goals in 72 appearances for the Blues, the Spaniard kept the club's infamous number nine shirt curse rolling.","approx transfer fee mwhen youre judge centreforwards arent many similarity diego costa alvaro morataso chelsea decide replace former latter beyond us costa fearless morata toothless costa menace opposition morata menace team costa highlight reel moment morata gag reel momentswith just goal appearance blue spaniard keep club infamous numb nine shirt curse roll","alvaro morata real madrid chelsea"
"39. Sebastien Haller (Eintracht Frankfurt to West Ham, 2019)","Approx transfer fee: £45mSandwiched between Sebastien Haller's prolific spells at Eintracht Frankfurt and Ajax was a less than fruitful experience at West Ham.The Hammers' struggles to find a top class striker have long been documented, and they thought their prayers had been answered when they brought in Haller, who at that time had not declared for the Ivory Coast and was on the verge of a France call-up.But the lanky forward failed to consistently find the net in claret and blue and was sold to Ajax 18 months later, since re-establishing himself as a quality striker.","approx transfer fee msandwiched sebastien hallers prolific spell eintracht frankfurt ajax little fruitful experience west hamthe hammer struggle find top class striker long document think prayer answer bring haller time declare ivory coast verge france callupbut lanky forward fail consistently find net claret blue sell ajax month late since reestablish quality striker","sebastien haller eintracht frankfurt west ham"
"38. Diego Costa (Chelsea to Atletico Madrid, 2017)","Approx transfer fee: £45mDiego Costa's first Atletico Madrid spell - the term everyone remembers him for - was undoubtedly a roaring success. We're not here to debate that.His second spell? An underrated disaster.Costa spent the entire summer of 2017 sulking and trying to force a move back to Atleti, but they failed to meet Chelsea's asking price. The Blues omitted him from their squad and found an agreement with the Spanish side days after the summer window closed.When Costa finally arrived back in Madrid, he played a further 81 games for Diego Simeone's charges between long spells on the treatment table, scoring a measly 19 goals.","approx transfer fee mdiego costas first atletico madrid spell term everyone remember undoubtedly roar success debate thathis 2 spell underrate disastercosta spend entire summer sulk try force move back atleti fail meet chelseas ask price blue omit squad find agreement spanish side day summer window closedwhen costa finally arrive back madrid play game diego simeones charge long spell treatment table score measly goal","diego costa chelsea atletico madrid"
"37. Harry Maguire (Leicester to Manchester United, 2019)","Approx transfer fee: £80mMan Utd spent almost an entire summer trying to sign Harry Maguire back in 2019, haggling with Leicester City to drop their £80m asking price. In the end, United wasted weeks and paid the full asking price anyway. They went on to install him as club captain so prematurely that it now looks as if he might lose it, while more clips of Bad Harry Maguire Defending than you can count have circulated on social media with the caption ""What £80m gets u nowadays loooool"".It's hard to not feel sorry for Maguire, really. He's a better player than he's shown but £80m heaped a bunch of pressure on him that he just hasn't been able to handle.","approx transfer fee mman utd spend almost entire summer try sign harry maguire back haggle leicester city drop be ask price end unite waste week pay full ask price anyway go install club captain prematurely now look may lose clip bad harry maguire defend can count circulate social medium caption be get u nowadays looooolits hard feel sorry maguire really hes good player hes show be heap bunch pressure just hasnt able handle","harry maguire leicester manchester unite"
"36. Tiemoue Bakayoko (Monaco to Chelsea (2017)","Approx transfer fee: £40mA star of that famous Monaco team which reached the Champions League semi-finals in 2017, Tiemoue Bakayoko looked a shell of himself following his move to Chelsea.How bad was Bakayoko for the Blues? Well, put it this way - he's played 82 more times for other clubs than he has for Chelsea while being contracted to the Stamford Bridge club. He's a firm member of their 'loan army'.","approx transfer fee ma star famous monaco team reach champion league semifinal tiemoue bakayoko look shell follow move chelseahow bad bakayoko blue good put way hes play time club chelsea contract stamford bridge club hes firm member loan army","tiemoue bakayoko monaco chelsea"
"35. Carlos Tevez (Boca Juniors to Shanghai Shenhua, 2016)","Approx transfer fee: €16m (transfer fee is disputed)In December 2016, Carlos Tevez left his boyhood club Boca Juniors for a second time to join Chinese Super League side Shanghai Shenhua, who reportedly paid him an annual salary of £630,000 a week - supposedly making him the highest paid player in all of world football.Tevez himself disputed those claims telling reporters not to believe the 'legends'.Shenhua were hoping that a superstar like Tevez, who had shone in England, Italy and Argentina, would help them win a first league title since 1995, but the controversial forward had different priorities. Tevez played just 20 times in his one season in China, scoring four (working out at roughly £8m a goal), while he appeared to be unfit and uninterested.The former Man City star later described his time in China as a 'holiday', while Shenhua fans booed him and gave him the nickname 'homesick boy'.As a parting shot on his return to Boca, Tevez claimed Chinese players are 'not as naturally skilled like South American or European players' and added that 'even in 50 years, they still won’t be able to compete.'","approx transfer fee be transfer fee disputedin december carlos tevez leave boyhood club boca junior 2 time join chinese super league side shanghai shenhua reportedly pay annual salary week supposedly make high pay player world footballtevez dispute claim tell reporter believe legendsshenhua hope superstar like tevez shine england italy argentina help win first league title since controversial forward different priority tevez play just time one season china score four work roughly be goal appear unfit uninterestedthe former man city star late describe time china holiday shenhua fan boo give nickname homesick boyas part shoot return boca tevez claim chinese player naturally skill like south american european player add even year still wont able compete","carlos tevez boca junior shanghai shenhua"
"34. Angel Di Maria (Real Madrid to Manchester United, 2014)","Approx transfer fee: £60mThirteen years on from Juan Sebastian Veron, Manchester United once again broke the British transfer record to sign an Argentine midfielder, and Angel Di Maria continued the symmetry by failing to shine at Old Trafford, despite arriving from Real Madrid with a formidable reputation.He started brightly, winning Manchester United's player and goal of the month awards for September, but that soon tailed off and he was named the Telegraph's worst signing of the 2014/15 season (some feat considering Liverpool's haul that summer). He left after just one season for a loss of over £15m. Frustratingly for the Red Devils, he is now an integral player for PSG and Argentina, with that one-year spell in England pretty much the only blip in his career.","approx transfer fee mthirteen year juan sebastian veron manchester unite break british transfer record sign argentine midfielder angel di mare continue symmetry fail shine old trafford despite arrive real madrid formidable reputationhe start brightly win manchester uniteds player goal month award september soon tail name telegraph bad sign season feat consider liverpools haul summer leave just one season loss be frustratingly red devil now integral player psg argentina oneyear spell england pretty much blip career","angel di mare real madrid manchester unite"
"33. Giovani Lo Celso (Betis to Tottenham, 2019)","Approx transfer fee: £27m/£55mNow as you can see, there was quit a discrepancy in the reporting of the fee Tottenham paid Real Betis for Giovani Lo Celso.For the entirety of the 2019 summer window, the fee was said to be not too far off Tanguy Ndombele's record £63m. But the transfer initially went through as a loan, and when Spurs triggered the purchase clause, it was for a reported fee of around £27m.Anyway, that's all trivial. Lo Celso was rubbish for Tottenham and had to block a Twitter account which showcased all of his rubbish moments for the club.","approx transfer fee mmnow can see quit discrepancy report fee tottenham pay real betis giovani lo celsofor entirety summer window fee say far tanguy ndombeles record be transfer initially go loan spur trigger purchase clause report fee around manyway thats trivial lo celso rubbish tottenham block twitter account showcase rubbish moment club","giovani lo celso betis tottenham"
"32. Jack Rodwell (Manchester City to Sunderland, 2014)","Approx transfer fee: £10mNot a patch on many of the other entries on this list in pure financial terms, Rodwell's inclusion is more to do with how he became a living, breathing symbol for Sunderland's excess and mismanagement.The injury-plagued midfielder managed fewer than 45 league starts in over three seasons, but took home £70,000 a week in wages as the Black Cats plummeted from Premier League regulars to League One meme club and teetered on the brink of financial abyss.Local papers the Chronicle and Northern Echo both described the former Evertonian as the worst signing in Sunderland history (no mean feat at all) upon his 2018 exit.","approx transfer fee mnot patch many entry list pure financial term rodwells inclusion become live breathe symbol sunderlands excess mismanagementthe injuryplagued midfielder manage few league start three season take home week wage black cat plummet premier league regular league one meme club teeter brink financial abysslocal paper chronicle northern echo describe former evertonian bad sign sunderland history mean feat upon exit","jack rodwell manchester city sunderland"
"31. Arthur & Miralem Pjanic (Barcelona swap with Juventus, 2020)","Approx transfer fees: £66m & £59.4mPerhaps the most unique entry on the list, here, given we've got two players in one slot.At the height of the coronavirus pandemic, Barcelona and Juventus engaged in what was essentially a swap deal to send an average midfielder the other way.Unsurprisingly, neither of them were any good.","approx transfer fee be mperhaps unique entry list give weve get two player one slotat height coronavirus pandemic barcelona juventus engage essentially swap deal send average midfielder wayunsurprisingly neither good","arthur miralem pjanic barcelona swap juventus"
